Artist,Stage,Date,Time
"DA CAPO","Ubuntu","Sunday May 18","TBA"
"DA TWEEKAZ","Wasteland","Sunday May 18","TBA"
"DAMON SHARPE","Forest House","Sunday May 18","TBA"
"DANIEL ALLAN","Cosmic Meadow","Friday May 16","TBA"
"DANNY AVILA","Kinetic Field","Sunday May 18","TBA"
"DARREN STYLES","Wasteland","Saturday May 17","TBA"
"DAVID FORBES","Quantum Valley","Friday May 16","TBA"
"DAVID RUST","Quantum Valley","Friday May 16","TBA"
"DEA MAGNA","Blacklight Bar","Friday May 16","TBA"
"DEAD X","BeatBox Art Car","Friday May 16","TBA"
"DEATH CODE B2B KAMI","Wasteland","Sunday May 18","TBA"
"DEE/MA","Ubuntu","Saturday May 17","TBA"
"DENA","Blacklight Bar","Friday May 16","TBA"
"DENNIS CRUZ","Neon Garden","Saturday May 17","TBA"
"DEORRO & FRIENDS","Kinetic Field","Friday May 16","TBA"
"DEVIN WILD","Wasteland","Saturday May 17","TBA"
"DIMENSION","Kinetic Field","Saturday May 17","TBA"
"DISCO DOM","Stereo Bloom","Friday May 16","TBA"
"DISCO LINES","Cosmic Meadow","Sunday May 18","TBA"
"DISCRETE","Blacklight Bar","Saturday May 17","TBA"
"DISTINCT MOTIVE","Basspod","Friday May 16","TBA"
"DJ FUCKOFF","Bionic Jungle","Friday May 16","TBA"
"DJ GIGOLA","Bionic Jungle","Saturday May 17","TBA"
"DJ LAG","Ubuntu","Friday May 16","TBA"
"DJ LAG","Ubuntu","Saturday May 17","TBA"
"DJ SLIM MCGRAW","yeEDC!","Friday May 16","TBA"
"DJ SNAKE","Kinetic Field","Friday May 16","TBA"
"DJ SNAKE (HIP HOP SET)","Cosmic Meadow","Saturday May 17","TBA"
"DOM DOLLA","Kinetic Field","Friday May 16","TBA"
"DOM DOLLA B2B CHASE & STATUS","Kinetic Field","Friday May 16","TBA"
"DOMBRESKY","Cosmic Meadow","Sunday May 18","TBA"
"DRĖĖĖMY","Ubuntu","Sunday May 18","TBA"
"DRINKURWATER","Basspod","Sunday May 18","TBA"
"DUAL DAMAGE","Wasteland","Sunday May 18","TBA"
"DYLAN BRADY","Bionic Jungle","Saturday May 17","TBA"
"ELEPHANTE","BeatBox Art Car","Saturday May 17","TBA"
"ELI BROWN","Circuit Grounds","Friday May 16","TBA"
"ELI FOLA (HYBRID SET)","Ubuntu","Friday May 16","TBA"
"EMO NITE (GRAVE RAVE SET)","BeatBox Art Car","Saturday May 17","TBA"
"ERIC PRYDZ","Kinetic Field","Saturday May 17","TBA"
"€URO TRA$H","BeatBox Art Car","Saturday May 17","TBA"
"EXCISION","Circuit Grounds","Sunday May 18","TBA"
"FCUKERS (DJ SET)","Bionic Jungle","Saturday May 17","TBA"
"FIREWORKS","Kinetic Field","Friday May 16","TBA"
"FIREWORKS","Kinetic Field","Saturday May 17","TBA"
"FIREWORKS","Kinetic Field","Sunday May 18","TBA"
"FISHER","Kinetic Field","Saturday May 17","TBA"
"FRANCIS MERCIER","Stereo Bloom","Saturday May 17","TBA"
"FUNK TRIBU B2B ØTTA","Neon Garden","Sunday May 18","TBA"
"FUNK TRIBU","Quantum Valley","Saturday May 17","TBA"
"FURY WITH MC DINO","Basspod","Saturday May 17","TBA"
"GAIA","Metaphoenix","Sunday May 18","TBA"
"GESAFFELSTEIN","Cosmic Meadow","Saturday May 17","TBA"
"GIRL MATH (VNSSA B2B NALA)","Cosmic Meadow","Sunday May 18","TBA"
"GORGON CITY","Kinetic Field","Friday May 16","TBA"
"GOSHFATHER","Forest House","Friday May 16","TBA"
"GREG MIKE B2B LARRY LOUD","Blacklight Bar","Saturday May 17","TBA"
"GUDFELLA","Cosmic Meadow","Sunday May 18","TBA"
"GUDFELLA","Metaphoenix","Sunday May 18","TBA"
"HANNAH LAING","Quantum Valley","Saturday May 17","TBA"
"HANZ","Blacklight Bar","Sunday May 18","TBA"
"HARRISTONE","Blacklight Bar","Friday May 16","TBA"
"HARVARD BASS B2B SHADED","Metaphoenix","Saturday May 17","TBA"
"HAYLEE WOOD","Metaphoenix","Friday May 16","TBA"
"HEDEX","Cosmic Meadow","Saturday May 17","TBA"
"HEX COUGAR","BeatBox Art Car","Sunday May 18","TBA"
